ko_number	fasta_header	locus_tag	tf_name	tf_description	family	subtype	type
K22293	lcl|FQ312003.1_prot_CBW17535.1_1439	SL1344_1440	rspR	GntR family transcriptional regulator, rspAB operon transcriptional repressor	GntR family	Helix-turn-helix	Prokaryotic type
K22486	lcl|FQ312003.1_prot_CBW18954.1_2862	SL1344_2856	hilA	transcriptional regulator HilA, main transcriptional regulator of SPI1	Others	Other transcription factors	Prokaryotic type
K22489	lcl|FQ312003.1_prot_CBW18998.1_2906	SL1344_2899	hosA	MarR family transcriptional regulator, temperature-dependent positive regulator of motility	MarR family	Helix-turn-helix	Prokaryotic type
K22650	lcl|FQ312003.1_prot_CBW20568.1_4482	SL1344_4479	bglJ	luxR family transcriptional regulator, regulator of transport and utilization of aryl beta-glucosides	LuxR family	Helix-turn-helix	Prokaryotic type
K23237	lcl|FQ312003.1_prot_CBW20320.1_4233	SL1344_4234	melR	AraC family transcriptional regulator, melibiose operon regulatory protein	AraC family	Helix-turn-helix	Prokaryotic type
K23239	lcl|FQ312003.1_prot_CBW17653.1_1557	SL1344_1558	frmR	FrmR/RcnR family transcriptional regulator, repressor of frmRAB operon	Others	Other transcription factors	Prokaryotic type
K23240	lcl|FQ312003.1_prot_CBW19100.1_3008	SL1344_3001	rcnR	FrmR/RcnR family transcriptional regulator, repressor of rcnA expression	Others	Other transcription factors	Prokaryotic type
K23773	lcl|FQ312003.1_prot_CBW19947.1_3858	SL1344_3858	hdfR	LysR family transcriptional regulator, flagellar master operon regulator	LysR family	Helix-turn-helix	Prokaryotic type
K23777	lcl|FQ312003.1_prot_CBW16893.1_794	SL1344_0795	cecR	TetR/AcrR family transcriptional regulator, regulator of cefoperazone and chloramphenicol sensitivity	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K23778	lcl|FQ312003.1_prot_CBW16942.1_843	SL1344_0845	rcdA	TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K23779	lcl|FQ312003.1_prot_CBW17630.1_1534	SL1344_1535	sutR	XRE family transcriptional regulator, regulator of sulfur utilization	XRE family	Helix-turn-helix	Prokaryotic type
